Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PN-3b Performance Rate,PN-3b Achievement Points,PN-3b Improvement Points,PN-3b Measure Score,PN-6 Performance Rate,PN-6 Achievement Points,PN-6 Improvement Points,PN-6 Measure Score,PN Condition/Procedure Score
"060036","ARKANSAS VALLEY REGIONAL MEDICAL CENTER","1100 CARSON AVENUE","La Junta","CO","81050","OTERO","0.93396","0 out of 10","0 out of 9","0 out of 10","0.79381","0 out of 10","0 out of 9","0 out of 10","0"
"100102","SHANDS LAKE SHORE REGIONAL MEDICAL CENTER","368 NE FRANKLIN ST","Lake City","FL","32055","COLUMBIA","0.98113","2 out of 10","0 out of 9","2 out of 10","0.90698","0 out of 10","0 out of 9","0 out of 10","2"
"360163","CHRIST HOSPITAL","2139 AUBURN AVENUE","Cincinnati","OH","45219","HAMILTON","0.98039","2 out of 10","0 out of 9","2 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","12"
"050232","FRENCH HOSPITAL MEDICAL CENTER","1911 JOHNSON AVE","San Luis Obispo","CA","93401","SAN LUIS OBISPO","0.99138","6 out of 10","6 out of 9","6 out of 10","0.98507","6 out of 10","7 out of 9","7 out of 10","13"
"390026","CHESTNUT HILL HOSPITAL","8835 GERMANTOWN AVE","Philadelphia","PA","19118","PHILADELPHIA","0.97500","0 out of 10","0 out of 9","0 out of 10","0.96739","2 out of 10","0 out of 9","2 out of 10","2"
"380017","LEGACY GOOD SAMARITAN MEDICAL CENTER","1015 NW 22ND AVENUE, W121","Portland","OR","97210","MULTNOMAH","0.99286","7 out of 10","6 out of 9","7 out of 10","0.94805","0 out of 10","0 out of 9","0 out of 10","7"
"370089","NORTHEASTERN HEALTH SYSTEM","1400 EAST DOWNING STREET","Tahlequah","OK","74465","CHEROKEE","0.98101","2 out of 10","7 out of 9","7 out of 10","0.90769","0 out of 10","0 out of 9","0 out of 10","7"
"270003","ST PETER'S HOSPITAL","2475 BROADWAY","Helena","MT","59601","LEWIS AND CLARK","0.94702","0 out of 10","0 out of 9","0 out of 10","0.98780","7 out of 10","7 out of 9","7 out of 10","7"
"180002","WHITESBURG ARH HOSPITAL","240 HOSPITAL ROAD","Whitesburg","KY","41858","LETCHER","0.98291","3 out of 10","8 out of 9","8 out of 10","0.91228","0 out of 10","0 out of 9","0 out of 10","8"
"390073","UPMC ALTOONA","620 HOWARD AVENUE","Altoona","PA","16601","BLAIR","0.98542","4 out of 10","5 out of 9","5 out of 10","0.94565","0 out of 10","0 out of 9","0 out of 10","5"
"440025","LAUGHLIN MEMORIAL HOSPITAL, INC","1420 TUSCULUM BLVD","Greeneville","TN","37745","GREENE","0.97071","0 out of 10","0 out of 9","0 out of 10","0.96479","2 out of 10","6 out of 9","6 out of 10","6"
"490050","VIRGINIA HOSPITAL CENTER","1701 NORTH GEORGE MASON DRIVE","Arlington","VA","22205","ARLINGTON","0.99038","6 out of 10","0 out of 9","6 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","16"
"150158","IU HEALTH WEST HOSPITAL","1111 N RONALD REAGAN PKWY","Avon","IN","46123","HENDRICKS","0.99412","7 out of 10","7 out of 9","7 out of 10","0.90698","0 out of 10","0 out of 9","0 out of 10","7"
"140187","ST ELIZABETH HOSPITAL","211 S THIRD ST","Belleville","IL","62222","ST. CLAIR","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98742","7 out of 10","4 out of 9","7 out of 10","17"
"230254","CRITTENTON HOSPITAL MEDICAL CENTER","1101 W UNIVERSITY DRIVE","Rochester","MI","48307","OAKLAND","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99099","8 out of 10","7 out of 9","8 out of 10","18"
"190176","TULANE MEDICAL CENTER","1415 TULANE AVE","New Orleans","LA","70112","ORLEANS","0.98347","3 out of 10","0 out of 9","3 out of 10","0.97826","5 out of 10","1 out of 9","5 out of 10","8"
"330088","EASTERN LONG ISLAND HOSPITAL","201 MANOR PLACE","Greenport","NY","11944","SUFFOLK","0.93617","0 out of 10","0 out of 9","0 out of 10","0.90000","0 out of 10","0 out of 9","0 out of 10","0"
"230197","GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK","ONE GENESYS PARKWAY","Grand Blanc","MI","48439","GENESEE","0.97492","0 out of 10","2 out of 9","2 out of 10","0.98519","6 out of 10","8 out of 9","8 out of 10","10"
"140164","MEMORIAL HOSPITAL OF CARBONDALE","405 W JACKSON","Carbondale","IL","62902","JACKSON","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"140147","RICHLAND MEMORIAL HOSPITAL","800 EAST LOCUST","Olney","IL","62450","RICHLAND","0.97531","0 out of 10","4 out of 9","4 out of 10","0.95082","0 out of 10","5 out of 9","5 out of 10","9"
"140209","METHODIST MEDICAL CENTER OF ILLINOIS","221 N E GLEN OAK AVE","Peoria","IL","61636","PEORIA","0.97287","0 out of 10","0 out of 9","0 out of 10","0.95732","0 out of 10","2 out of 9","2 out of 10","2"
"140145","ST JOSEPHS HOSPITAL","9515 HOLY CROSS LN","Breese","IL","62230","CLINTON","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"420020","GEORGETOWN MEMORIAL HOSPITAL","606 BLACK RIVER RD DRAWER 1718","Georgetown","SC","29440","GEORGETOWN","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98361","6 out of 10","0 out of 9","6 out of 10","16"
"100151","MAYO CLINIC","4500 SAN PABLO RD","Jacksonville","FL","32224","DUVAL","1.00000","10 out of 10","0 out of 9","10 out of 10","0.92188","0 out of 10","0 out of 9","0 out of 10","10"
"130049","KOOTENAI HEALTH","2003 KOOTENAI HEALTH WAY","Coeur D'Alene","ID","83814","KOOTENAI","0.98120","2 out of 10","4 out of 9","4 out of 10","0.97861","5 out of 10","7 out of 9","7 out of 10","11"
"220071","MASSACHUSETTS GENERAL HOSPITAL","55 FRUIT STREET","Boston","MA","02114","SUFFOLK","0.98485","3 out of 10","5 out of 9","5 out of 10","0.89189","0 out of 10","1 out of 9","1 out of 10","6"
"340143","CATAWBA VALLEY MEDICAL CENTER","810 FAIRGROVE CHURCH RD","Hickory","NC","28602","CATAWBA","0.98354","3 out of 10","6 out of 9","6 out of 10","0.95652","0 out of 10","5 out of 9","5 out of 10","11"
"060065","NORTH SUBURBAN MEDICAL CENTER","9191 GRANT ST","Thornton","CO","80229","ADAMS","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"150057","FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE","1201 HADLEY RD","Mooresville","IN","46158","MORGAN","0.96947","0 out of 10","6 out of 9","6 out of 10","0.92222","0 out of 10","0 out of 9","0 out of 10","6"
"330240","HARLEM HOSPITAL CENTER","506 LENOX AVENUE","New York","NY","10037","NEW YORK","0.99296","7 out of 10","5 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","17"
"450651","MEDICAL CENTER OF PLANO","3901 W 15TH ST","Plano","TX","75075","COLLIN","1.00000","10 out of 10","9 out of 9","10 out of 10","0.98630","6 out of 10","0 out of 9","6 out of 10","16"
"340071","BETSY JOHNSON REGIONAL  HOSPITAL","800 TILGHMAN DR","Dunn","NC","28334","HARNETT","0.98283","3 out of 10","7 out of 9","7 out of 10","0.95625","0 out of 10","0 out of 9","0 out of 10","7"
"140233","SAINT ANTHONY MEDICAL CENTER","5666 EAST STATE STREET","Rockford","IL","61108","WINNEBAGO","0.98689","4 out of 10","0 out of 9","4 out of 10","0.98802","7 out of 10","8 out of 9","8 out of 10","12"
"140064","ST MARY MEDICAL CENTER","3333 NORTH SEMINARY","Galesburg","IL","61401","KNOX","0.99091","6 out of 10","7 out of 9","7 out of 10","0.98795","7 out of 10","8 out of 9","8 out of 10","15"
"050121","ADVENTIST MEDICAL CENTER","115 MALL DRIVE","Hanford","CA","93230","KINGS","0.95492","0 out of 10","0 out of 9","0 out of 10","0.95513","0 out of 10","1 out of 9","1 out of 10","1"
"220119","BRIGHAM AND WOMEN'S FAULKNER HOSPITAL","1153 CENTRE STREET","Jamaica Plain","MA","02130","SUFFOLK","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"670082","BAYLOR MEDICAL CENTER AT MCKINNEY","5252 WEST UNIVERSITY DRIVE","Mc Kinney","TX","75071","COLLIN","0.98907","5 out of 10","Not Available","5 out of 10","0.98958","7 out of 10","Not Available","7 out of 10","12"
"240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE","Minneapolis","MN","55454","HENNEPIN","0.99614","8 out of 10","9 out of 9","9 out of 10","0.96000","1 out of 10","7 out of 9","7 out of 10","16"
"180139","KENTUCKY RIVER MEDICAL CENTER","540 JETT DRIVE","Jackson","KY","41339","BREATHITT","1.00000","10 out of 10","0 out of 9","10 out of 10","0.97872","5 out of 10","0 out of 9","5 out of 10","15"
"330306","LUTHERAN MEDICAL CENTER","150 55TH STREET","Brooklyn","NY","11220","KINGS","0.98691","4 out of 10","7 out of 9","7 out of 10","0.95902","0 out of 10","0 out of 9","0 out of 10","7"
"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","Tucson","AZ","85741","PIMA","0.99598","8 out of 10","5 out of 9","8 out of 10","0.99190","8 out of 10","5 out of 9","8 out of 10","16"
"020018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","Bethel","AK","99559","BETHEL","0.86207","0 out of 10","0 out of 9","0 out of 10","0.85294","0 out of 10","0 out of 9","0 out of 10","0"
"370229","INTEGRIS SEMINOLE MEDICAL CENTER","2401 WRANGLER BOULEVARD","Seminole","OK","74868","SEMINOLE","0.87805","0 out of 10","0 out of 9","0 out of 10","0.86207","0 out of 10","0 out of 9","0 out of 10","0"
"450641","NOCONA GENERAL HOSPITAL","100 PARK ROAD","Nocona","TX","76255","MONTAGUE","Not Available","Not Available","Not Available","Not Available","0.88889","0 out of 10","6 out of 9","6 out of 10","6"
"390220","JENNERSVILLE REGIONAL HOSPITAL","1015 WEST BALTIMORE PIKE","West Grove","PA","19390","CHESTER","0.99451","7 out of 10","7 out of 9","7 out of 10","0.97619","4 out of 10","4 out of 9","4 out of 10","11"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET","Elmer","NJ","08318","SALEM","0.98113","2 out of 10","4 out of 9","4 out of 10","0.98529","6 out of 10","7 out of 9","7 out of 10","11"
"390071","LOCK HAVEN HOSPITAL","24 CREE DRIVE","Lock Haven","PA","17745","CLINTON","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"100314","WEST KENDALL BAPTIST HOSPITAL","9555 SW 162 AVE","Miami","FL","33196","DADE","0.99005","5 out of 10","0 out of 9","5 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","15"
"180024","SPRING VIEW HOSPITAL","320 LORETTO ROAD","Lebanon","KY","40033","MARION","0.99248","6 out of 10","0 out of 9","6 out of 10","0.95098","0 out of 10","5 out of 9","5 out of 10","11"
"260059","MERCY HOSPITAL LEBANON","100 HOSPITAL DRIVE","Lebanon","MO","65536-9210","LACLEDE","0.97143","0 out of 10","4 out of 9","4 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","14"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","Centre","AL","35960","CHEROKEE","0.97436","0 out of 10","0 out of 9","0 out of 10","0.96296","1 out of 10","0 out of 9","1 out of 10","1"
"450132","MEDICAL CENTER HOSPITAL","500 W 4TH STREET","Odessa","TX","797607239","ECTOR","0.97403","0 out of 10","0 out of 9","0 out of 10","0.95652","0 out of 10","0 out of 9","0 out of 10","0"
"390035","ST LUKE'S QUAKERTOWN HOSPITAL","1021 PARK AVENUE","Quakertown","PA","18951","BUCKS","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"190081","WEST CARROLL MEMORIAL HOSPITAL","706 ROSS STREET","Oak Grove","LA","71263","WEST CARROLL","Not Available","Not Available","Not Available","Not Available","0.55446","0 out of 10","0 out of 9","0 out of 10","0"
"340042","ONSLOW MEMORIAL HOSPITAL","317 WESTERN BOULEVARD","Jacksonville","NC","28546","ONSLOW","0.98824","5 out of 10","7 out of 9","7 out of 10","0.95420","0 out of 10","2 out of 9","2 out of 10","9"
"040147","ARKANSAS SURGICAL HOSPITAL","5201 NORTH SHORE DRIVE","North Little Rock","AR","72118","PULASKI","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250124","MAGEE GENERAL HOSPITAL","300 3RD AVE SE","Magee","MS","39111","SIMPSON","0.90541","0 out of 10","0 out of 9","0 out of 10","0.88235","0 out of 10","0 out of 9","0 out of 10","0"
"260227","BLACK RIVER COMMUNITY MEDICAL CENTER","217 PHYSICIANS PARK DRIVE","Poplar Bluff","MO","63901-3956","BUTLER","Not Available","Not Available","Not Available","Not Available","0.94118","0 out of 10","Not Available","0 out of 10","0"
"090008","UNITED MEDICAL CENTER","1310 SOUTHERN AVENUE  SE","Washington","DC","20032","DISTRICT OF COLUMBIA","0.87069","0 out of 10","3 out of 9","3 out of 10","0.93548","0 out of 10","0 out of 9","0 out of 10","3"
"330401","ST CATHERINE OF SIENA HOSPITAL","50 ROUTE 25A","Smithtown","NY","11787","SUFFOLK","0.97633","0 out of 10","8 out of 9","8 out of 10","0.98765","7 out of 10","8 out of 9","8 out of 10","16"
"220098","NASHOBA VALLEY MEDICAL CENTER","200 GROTON ROAD","Ayer","MA","01432","MIDDLESEX","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"450200","WADLEY REGIONAL MEDICAL CENTER","1000 PINE STREET","Texarkana","TX","75501","BOWIE","0.98788","5 out of 10","7 out of 9","7 out of 10","0.93671","0 out of 10","0 out of 9","0 out of 10","7"
"360210","GRADY MEMORIAL HOSPITAL","561 WEST CENTRAL AVENUE","Delaware","OH","43015","DELAWARE","0.96296","0 out of 10","0 out of 9","0 out of 10","0.98182","5 out of 10","0 out of 9","5 out of 10","5"
"450389","EAST TEXAS MEDICAL CENTER ATHENS","2000 SOUTH PALESTINE","Athens","TX","75751","HENDERSON","0.97358","0 out of 10","5 out of 9","5 out of 10","0.87013","0 out of 10","0 out of 9","0 out of 10","5"
"530012","WYOMING MEDICAL CENTER","1233 EAST 2ND ST","Casper","WY","82601","NATRONA","0.98537","4 out of 10","0 out of 9","4 out of 10","0.96241","1 out of 10","0 out of 9","1 out of 10","5"
"390079","ROBERT PACKER HOSPITAL","ONE GUTHRIE SQUARE","Sayre","PA","18840","BRADFORD","0.95361","0 out of 10","0 out of 9","0 out of 10","0.95833","0 out of 10","0 out of 9","0 out of 10","0"
"520087","GUNDERSEN LUTHERAN MEDICAL CENTER","1910 SOUTH AVE","La Crosse","WI","54601","LA CROSSE","0.98895","5 out of 10","0 out of 9","5 out of 10","0.96552","2 out of 10","6 out of 9","6 out of 10","11"
"100017","HALIFAX HEALTH MEDICAL CENTER","303 N CLYDE MORRIS BLVD","Daytona Beach","FL","32114","VOLUSIA","0.95769","0 out of 10","0 out of 9","0 out of 10","0.96795","2 out of 10","6 out of 9","6 out of 10","6"
"050457","ST MARY'S MEDICAL CENTER","450 STANYAN ST","San Francisco","CA","94117","SAN FRANCISCO","0.99200","6 out of 10","6 out of 9","6 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","16"
"180035","ST ELIZABETH MEDICAL CENTER","1 MEDICAL VILLAGE DRIVE","Edgewood","KY","41017","KENTON","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"110109","EMANUEL MEDICAL CENTER","117 KITE ROAD","Swainsboro","GA","30401","EMANUEL","0.96774","0 out of 10","6 out of 9","6 out of 10","0.81481","0 out of 10","0 out of 9","0 out of 10","6"
"260097","WESTERN MISSOURI MEDICAL CENTER","403 BURKARTH ROAD","Warrensburg","MO","64093-3101","JOHNSON","0.94681","0 out of 10","2 out of 9","2 out of 10","0.90000","0 out of 10","0 out of 9","0 out of 10","2"
"420002","PIEDMONT MEDICAL CENTER","222 S HERLONG AVE","Rock Hill","SC","29730","YORK","0.97826","1 out of 10","5 out of 9","5 out of 10","0.94186","0 out of 10","0 out of 9","0 out of 10","5"
"050506","SIERRA VISTA REGIONAL MEDICAL CENTER","1010 MURRAY ST","San Luis Obispo","CA","93405","SAN LUIS OBISPO","0.91667","0 out of 10","0 out of 9","0 out of 10","0.97561","4 out of 10","0 out of 9","4 out of 10","4"
"360026","GREENE MEMORIAL HOSPITAL","1141 NORTH MONROE DRIVE","Xenia","OH","45385","GREENE","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"420062","CHESTERFIELD GENERAL HOSPITAL","711 CHESTERFIELD HIGHWAY","Cheraw","SC","29520","CHESTERFIELD","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"190266","THE NEUROMEDICAL CENTER HOSPITAL","10105 PARK ROW CIRCLE","Baton Rouge","LA","70810","EAST BATON ROUGE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"420065","BON SECOURS-ST FRANCIS XAVIER HOSPITAL","2095 HENRY TECKLENBURG DRIVE","Charleston","SC","29414","CHARLESTON","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"360236","MERCY HOSPITAL CLERMONT","3000 HOSPITAL DRIVE","Batavia","OH","45103","CLERMONT","0.98182","2 out of 10","2 out of 9","2 out of 10","0.97183","3 out of 10","2 out of 9","3 out of 10","5"
"360276","ST ELIZABETH BOARDMAN HEALTH CENTER","8401 MARKET STREET","Youngstown","OH","44512","MAHONING","0.98473","3 out of 10","3 out of 9","3 out of 10","0.87302","0 out of 10","0 out of 9","0 out of 10","3"
"050226","AHMC ANAHEIM REGIONAL MEDICAL CENTER","1111 W LA PALMA AVENUE","Anaheim","CA","92801","ORANGE","0.99298","7 out of 10","0 out of 9","7 out of 10","0.97403","4 out of 10","0 out of 9","4 out of 10","11"
"100034","MOUNT SINAI MEDICAL CENTER","4300 ALTON RD","Miami Beach","FL","33140","DADE","0.99730","8 out of 10","9 out of 9","9 out of 10","0.98870","7 out of 10","7 out of 9","7 out of 10","16"
"050230","GARDEN GROVE HOSPITAL & MEDICAL CENTER","12601 GARDEN GROVE BLVD","Garden Grove","CA","92843","ORANGE","0.99390","7 out of 10","5 out of 9","7 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","17"
"050603","SADDLEBACK MEMORIAL MEDICAL CENTER","24451 HEALTH CENTER DRIVE","Laguna Hills","CA","92653","ORANGE","0.97941","1 out of 10","2 out of 9","2 out of 10","0.97549","4 out of 10","0 out of 9","4 out of 10","6"
"050599","UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","2315 STOCKTON BOULEVARD","Sacramento","CA","95817","SACRAMENTO","0.98582","4 out of 10","6 out of 9","6 out of 10","0.98387","6 out of 10","0 out of 9","6 out of 10","12"
"050515","KAISER FOUNDATION HOSPITAL - SAN DIEGO","4647 ZION AVE","San Diego","CA","92120","SAN DIEGO","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"350002","ST ALEXIUS MEDICAL CENTER","900 E BROADWAY","Bismarck","ND","58501","BURLEIGH","0.97945","1 out of 10","0 out of 9","1 out of 10","0.93893","0 out of 10","0 out of 9","0 out of 10","1"
"390168","BUTLER MEMORIAL HOSPITAL","ONE HOSPITAL WAY","Butler","PA","16001","BUTLER","0.98206","2 out of 10","0 out of 9","2 out of 10","0.98204","6 out of 10","5 out of 9","6 out of 10","8"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","Montgomery","AL","36106","MONTGOMERY","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98374","6 out of 10","0 out of 9","6 out of 10","16"
"060030","MCKEE MEDICAL CENTER","2000 BOISE AVE","Loveland","CO","80538","LARIMER","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"460010","INTERMOUNTAIN MEDICAL CENTER","5121 SOUTH COTTONWOOD STREET","Murray","UT","84157","SALT LAKE","0.98473","3 out of 10","7 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","17"
"670067","BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON","707 HIGHLANDER BLVD","Arlington","TX","76015","TARRANT","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"440029","WILLIAMSON MEDICAL CENTER","4321 CAROTHERS PARKWAY","Franklin","TN","37067","WILLIAMSON","0.98387","3 out of 10","3 out of 9","3 out of 10","0.89623","0 out of 10","0 out of 9","0 out of 10","3"
"260190","LEE'S SUMMIT MEDICAL CENTER","2100 SE BLUE PARKWAY","Lees Summit","MO","64063-1007","JACKSON","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"220065","NOBLE HOSPITAL","115 WEST SILVER STREET","Westfield","MA","01086","HAMPDEN","0.99342","7 out of 10","7 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","17"
"050006","ST JOSEPH HOSPITAL","2700 DOLBEER ST","Eureka","CA","95501","HUMBOLDT","0.98291","3 out of 10","2 out of 9","3 out of 10","0.97590","4 out of 10","0 out of 9","4 out of 10","7"
"490017","BON SECOURS MARYVIEW MEDICAL CENTER","3636 HIGH STREET","Portsmouth","VA","23707","PORTSMOUTH CITY","0.90179","0 out of 10","0 out of 9","0 out of 10","0.98148","5 out of 10","0 out of 9","5 out of 10","5"
"420104","MOUNT PLEASANT HOSPITAL","3500 HIGHWAY 17 NORTH","Mount Pleasant","SC","29466","CHARLESTON","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"450867","SETON NORTHWEST HOSPITAL","11113 RESEARCH BOULEVARD","Austin","TX","78759","TRAVIS","0.99242","6 out of 10","7 out of 9","7 out of 10","0.98795","7 out of 10","0 out of 9","7 out of 10","14"
"450024","UNIVERSITY MEDICAL CENTER OF EL PASO","4815 ALAMEDA AVE","El Paso","TX","79905","EL PASO","0.99375","7 out of 10","9 out of 9","9 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","19"
"390323","ADVANCED SURGICAL HOSPITAL","100 TRICH DRIVE","Washington","PA","15301","WASHINGTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390004","HOLY SPIRIT HOSPITAL","503 NORTH 21ST STREET","Camp Hill","PA","17011","CUMBERLAND","1.00000","10 out of 10","0 out of 9","10 out of 10","0.98446","6 out of 10","0 out of 9","6 out of 10","16"
"450347","HUNTSVILLE MEMORIAL HOSPITAL","110 MEMORIAL HOSPITAL DRIVE","Huntsville","TX","77340","WALKER","0.94194","0 out of 10","0 out of 9","0 out of 10","0.95000","0 out of 10","0 out of 9","0 out of 10","0"
"360161","ST JOSEPH HEALTH CENTER","667 EASTLAND AVE SE","Warren","OH","44481","TRUMBULL","0.97590","0 out of 10","0 out of 9","0 out of 10","0.92727","0 out of 10","0 out of 9","0 out of 10","0"
"260001","MERCY HOSPITAL JOPLIN","2817 ST JOHNS BLVD","Joplin","MO","64804","JASPER","0.99074","6 out of 10","7 out of 9","7 out of 10","0.98113","5 out of 10","8 out of 9","8 out of 10","15"
"490032","MEDICAL COLLEGE OF VIRGINIA HOSPITALS","1250 EAST MARSHALL STREET - BOX 980510","Richmond","VA","23298","RICHMOND CITY","0.98630","4 out of 10","0 out of 9","4 out of 10","0.93458","0 out of 10","0 out of 9","0 out of 10","4"
"460047","ST MARKS HOSPITAL","1200 EAST 3900 SOUTH","Salt Lake City","UT","84124","SALT LAKE","0.98726","4 out of 10","0 out of 9","4 out of 10","0.97321","4 out of 10","0 out of 9","4 out of 10","8"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","Dothan","AL","36301","HOUSTON","0.99142","6 out of 10","9 out of 9","9 out of 10","0.97000","3 out of 10","6 out of 9","6 out of 10","15"
"050082","ST JOHNS REGIONAL MEDICAL CENTER","1600 N ROSE AVE","Oxnard","CA","93030","VENTURA","0.96016","0 out of 10","0 out of 9","0 out of 10","0.99160","8 out of 10","6 out of 9","8 out of 10","8"
"050179","EMANUEL MEDICAL CENTER","825 DELBON AVE","Turlock","CA","95382","STANISLAUS","0.98498","3 out of 10","6 out of 9","6 out of 10","0.95635","0 out of 10","0 out of 9","0 out of 10","6"
"390115","ARIA HEALTH","10800 KNIGHTS ROAD","Philadelphia","PA","19114","PHILADELPHIA","0.96671","0 out of 10","0 out of 9","0 out of 10","0.96040","1 out of 10","0 out of 9","1 out of 10","1"
"500141","ST FRANCIS COMMUNITY HOSPITAL","34515 9TH AVENUE SOUTH","Federal Way","WA","98003","KING","0.98446","3 out of 10","0 out of 9","3 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","13"
"450235","MEMORIAL HOSPITAL","1110 NORTH SARAH DEWITT DRIVE","Gonzales","TX","78629","GONZALES","0.95238","0 out of 10","0 out of 9","0 out of 10","0.91304","0 out of 10","0 out of 9","0 out of 10","0"
"120007","KUAKINI MEDICAL CENTER","347 NORTH KUAKINI STREET","Honolulu","HI","96817","HONOLULU","0.98582","4 out of 10","8 out of 9","8 out of 10","0.85263","0 out of 10","0 out of 9","0 out of 10","8"
"310014","COOPER UNIVERSITY HOSPITAL","1 COOPER PLAZA","Camden","NJ","08103","CAMDEN","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","20"
"100181","LARKIN COMMUNITY HOSPITAL","7031 SW 62ND AVE","South Miami","FL","33143","DADE","0.99091","6 out of 10","8 out of 9","8 out of 10","0.98214","6 out of 10","8 out of 9","8 out of 10","16"
"260062","SAINT LUKES NORTHLAND HOSPITAL","5830 N W BARRY ROAD","Kansas City","MO","64154","PLATTE","0.99074","6 out of 10","6 out of 9","6 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","16"
"110004","HUTCHESON MEDICAL CENTER","100 GROSS CRESCENT","Fort Oglethorpe","GA","30742","CATOOSA","0.96117","0 out of 10","0 out of 9","0 out of 10","0.96471","2 out of 10","0 out of 9","2 out of 10","2"
"440081","LECONTE MEDICAL CENTER","742 MIDDLECREEK ROAD","Sevierville","TN","37862","CUMBERLAND","0.98864","5 out of 10","2 out of 9","5 out of 10","0.99194","8 out of 10","7 out of 9","8 out of 10","13"
"360145","UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER","630 EAST RIVER STREET","Elyria","OH","44035","LORAIN","0.97917","1 out of 10","7 out of 9","7 out of 10","0.96053","1 out of 10","3 out of 9","3 out of 10","10"
"050414","MERCY HOSPITAL OF FOLSOM","1650 CREEKSIDE DRIVE","Folsom","CA","95630","SACRAMENTO","0.97516","0 out of 10","0 out of 9","0 out of 10","0.98980","7 out of 10","5 out of 9","7 out of 10","7"
"330397","INTERFAITH MEDICAL CENTER","1545 ATLANTIC AVENUE","Brooklyn","NY","11213","KINGS","0.73626","0 out of 10","4 out of 9","4 out of 10","0.90789","0 out of 10","7 out of 9","7 out of 10","11"
