Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,AMI-7a Performance Rate,AMI-7a Achievement Points,AMI-7a Improvement Points,AMI-7a Measure Score,AMI-8a Performance Rate,AMI-8a Achievement Points,AMI-8a Improvement Points,AMI-8a Measure Score,AMI Condition/Procedure Score
"190054","IBERIA GENERAL HOSPITAL AND MEDICAL CENTER","2315 E MAIN STREET","New Iberia","LA","70560","IBERIA","Not Available","Not Available","Not Available","Not Available","0.66667","0 out of 10","0 out of 9","0 out of 10","0"
"220046","BERKSHIRE MEDICAL CENTER INC","725 NORTH STREET","Pittsfield","MA","01201","BERKSHIRE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390073","UPMC ALTOONA","620 HOWARD AVENUE","Altoona","PA","16601","BLAIR","Not Available","Not Available","Not Available","Not Available","0.97115","4 out of 10","4 out of 9","4 out of 10","4"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","Birmingham","AL","35211","JEFFERSON","Not Available","Not Available","Not Available","Not Available","0.98333","6 out of 10","0 out of 9","6 out of 10","6"
"150059","RIVERVIEW HEALTH","395 WESTFIELD RD","Noblesville","IN","46060","HAMILTON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"150128","COMMUNITY HOSPITAL SOUTH","1402 E COUNTY LINE RD S","Indianapolis","IN","46227","MARION","Not Available","Not Available","Not Available","Not Available","0.94000","0 out of 10","0 out of 9","0 out of 10","0"
"310015","MORRISTOWN MEDICAL CENTER","100 MADISON AVE","Morristown","NJ","07962","MORRIS","Not Available","Not Available","Not Available","Not Available","0.93548","0 out of 10","2 out of 9","2 out of 10","2"
"050380","GOOD SAMARITAN HOSPITAL","2425 SAMARITAN DRIVE","San Jose","CA","95124","SANTA CLARA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"240006","OLMSTED MEDICAL CENTER","1650 FOURTH STREET SOUTHEAST","Rochester","MN","55904","OLMSTED","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"220071","MASSACHUSETTS GENERAL HOSPITAL","55 FRUIT STREET","Boston","MA","02114","SUFFOLK","Not Available","Not Available","Not Available","Not Available","0.98361","6 out of 10","7 out of 9","7 out of 10","7"
"340143","CATAWBA VALLEY MEDICAL CENTER","810 FAIRGROVE CHURCH RD","Hickory","NC","28602","CATAWBA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"060075","VALLEY VIEW HOSPITAL ASSOCIATION","1906 BLAKE AVE","Glenwood Springs","CO","81601","GARFIELD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"340119","STANLY REGIONAL MEDICAL CENTER","301 YADKIN ST","Albemarle","NC","28001","STANLY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"300003","MARY HITCHCOCK MEMORIAL HOSPITAL","1 MEDICAL CENTER DRIVE","Lebanon","NH","03756","GRAFTON","Not Available","Not Available","Not Available","Not Available","0.92500","0 out of 10","6 out of 9","6 out of 10","6"
"030094","ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","Glendale","AZ","853087101","MARICOPA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"190090","WINN PARISH MEDICAL CENTER","301 W BOUNDARY STREET","Winnfield","LA","71483","WINN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"170074","GEARY COMMUNITY HOSPITAL","1102 ST MARY'S ROAD","Junction City","KS","66441","GEARY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"310108","JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY","65 JAMES STREET","Edison","NJ","08818","MIDDLESEX","Not Available","Not Available","Not Available","Not Available","0.95385","1 out of 10","6 out of 9","6 out of 10","6"
"180044","PIKEVILLE MEDICAL CENTER","911 BYPASS ROAD","Pikeville","KY","41501","PIKE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"230095","WEST BRANCH REGIONAL MEDICAL CENTER","2463 SOUTH M-30","West Branch","MI","48661","OGEMAW","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"240030","DOUGLAS COUNTY HOSPITAL","111 17TH AVENUE EAST","Alexandria","MN","56308","DOUGLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500008","UNIVERSITY OF WASHINGTON MEDICAL CTR","1959 NE PACIFIC ST  BOX 356151","Seattle","WA","98195","KING","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"430016","AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER","1325 S CLIFF AVE  POST OFFICE BOX 5045","Sioux Falls","SD","571175045","MINNEHAHA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"100231","WEST FLORIDA HOSPITAL","8383 N DAVIS HWY","Pensacola","FL","32514","ESCAMBIA","Not Available","Not Available","Not Available","Not Available","0.98113","6 out of 10","0 out of 9","6 out of 10","6"
"450051","METHODIST DALLAS MEDICAL CENTER","1441 NORTH BECKLEY AVENUE","Dallas","TX","75203","DALLAS","Not Available","Not Available","Not Available","Not Available","0.94595","0 out of 10","0 out of 9","0 out of 10","0"
"360361","KINGS DAUGHTERS MEDICAL CENTER OHIO","1901 ARGONNE ROAD","Portsmouth","OH","45662","SCIOTO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450460","TYLER COUNTY HOSPITAL","1100 WEST BLUFF","Woodville","TX","75979","TYLER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390220","JENNERSVILLE REGIONAL HOSPITAL","1015 WEST BALTIMORE PIKE","West Grove","PA","19390","CHESTER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET","Elmer","NJ","08318","SALEM","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"280129","NEBRASKA ORTHOPAEDIC HOSPITAL","2808 SOUTH 143RD PLZ","Omaha","NE","68144","DOUGLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390093","CLARION HOSPITAL","271 PERKINS ROAD","Clarion","PA","16214","CLARION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"340051","WATAUGA MEDICAL CENTER","336 DEERFIELD ROAD","Boone","NC","28607","WATAUGA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"190184","CITIZENS MEDICAL CENTER","7939 U S HWY 165 SOUTH","Columbia","LA","71418","CALDWELL","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","Phoenix","AZ","850134496","MARICOPA","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"360355","OHIO VALLEY MEDICAL CENTER, LLC","100 WEST MAIN STREET","Springfield","OH","45502","CLARK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360263","INSTITUTE FOR ORTHOPAEDIC SURGERY","801 MEDICAL DRIVE, SUITE B","Lima","OH","45804","ALLEN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","Luverne","AL","36049","CRENSHAW","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390037","HERITAGE VALLEY SEWICKLEY","720 BLACKBURN ROAD","Sewickley","PA","15143","ALLEGHENY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"420066","LAKE CITY COMMUNITY HOSPITAL","258 N RON MCNAIR BLVD","Lake City","SC","29560","FLORENCE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490117","CARILION TAZEWELL COMMUNITY HOSPITAL","141 BEN BOLT AVENUE","Tazewell","VA","24651","TAZEWELL","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"240038","UNITED HOSPITAL","333 NORTH SMITH AVENUE","Saint Paul","MN","55102","RAMSEY","Not Available","Not Available","Not Available","Not Available","0.90476","0 out of 10","0 out of 9","0 out of 10","0"
"250044","BAPTIST MEMORIAL HOSPITAL BOONEVILLE","100 HOSPITAL DRIVE","Booneville","MS","38829","PRENTISS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490045","NOVANT HEALTH PRINCE WILLIAM MEDICAL CENTER","8700 SUDLEY RD","Manassas","VA","20110","MANASSAS CITY","Not Available","Not Available","Not Available","Not Available","0.95745","1 out of 10","Not Available","1 out of 10","1"
"050298","BARSTOW COMMUNITY HOSPITAL","820 E MOUNTAIN VIEW STREET","Barstow","CA","92311","SAN BERNARDINO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330180","SAMARITAN HOSPITAL","2215 BURDETT AVENUE","Troy","NY","12180","RENSSELAER","Not Available","Not Available","Not Available","Not Available","0.90323","0 out of 10","Not Available","0 out of 10","0"
"310051","OVERLOOK MEDICAL CENTER","99 BEAUVOIR AVENUE","Summit","NJ","07902","UNION","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"050769","HOAG ORTHOPEDIC INSTITUTE","16250 SAND CANYON AVENUE","Irvine","CA","92618","ORANGE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390228","ST CLAIR MEMORIAL HOSPITAL","1000 BOWER HILL ROAD","Pittsburgh","PA","15243","ALLEGHENY","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"330385","NORTH CENTRAL BRONX HOSPITAL","3424 KOSSUTH AVENUE & 210TH STREET","Bronx","NY","10467","BRONX","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050761","PROVIDENCE TARZANA MEDICAL CENTER","18321 CLARK STREET","Tarzana","CA","91356","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","0.84211","0 out of 10","0 out of 9","0 out of 10","0"
"050770","LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA","28062 BAXTER ROAD","Murrieta","CA","92563","RIVERSIDE","Not Available","Not Available","Not Available","Not Available","0.79592","0 out of 10","Not Available","0 out of 10","0"
"050485","LONG BEACH MEMORIAL MEDICAL CENTER","2801 ATLANTIC AVE","Long Beach","CA","90806","LOS ANGELES","Not Available","Not Available","Not Available","Not Available","0.93478","0 out of 10","1 out of 9","1 out of 10","1"
"450702","LONGVIEW REGIONAL MEDICAL CENTER","2901 N FOURTH ST","Longview","TX","75605","GREGG","Not Available","Not Available","Not Available","Not Available","0.95000","0 out of 10","4 out of 9","4 out of 10","4"
"450389","EAST TEXAS MEDICAL CENTER ATHENS","2000 SOUTH PALESTINE","Athens","TX","75751","HENDERSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520071","FORT MEMORIAL HOSPITAL","611 SHERMAN AVE E","Fort Atkinson","WI","53538","JEFFERSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250085","MARION GENERAL HOSPITAL","1560 SUMRALL RD","Columbia","MS","39429","MARION","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390030","SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET","420 SOUTH JACKSON STREET","Pottsville","PA","17901","SCHUYLKILL","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"070007","LAWRENCE & MEMORIAL HOSPITAL","365 MONTAUK AVE","New London","CT","06320","NEW LONDON","Not Available","Not Available","Not Available","Not Available","0.91837","0 out of 10","0 out of 9","0 out of 10","0"
"110109","EMANUEL MEDICAL CENTER","117 KITE ROAD","Swainsboro","GA","30401","EMANUEL","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250117","HIGHLAND COMMUNITY  HOSPITAL","130 HIGHLAND PKWY","Picayune","MS","39466","PEARL RIVER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"420062","CHESTERFIELD GENERAL HOSPITAL","711 CHESTERFIELD HIGHWAY","Cheraw","SC","29520","CHESTERFIELD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460015","LOGAN REGIONAL HOSPITAL","500 EAST 1400 NORTH","Logan","UT","84341","CACHE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330286","GOOD SAMARITAN HOSPITAL MEDICAL CENTER","1000 MONTAUK HIGHWAY","West Islip","NY","11795","SUFFOLK","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"390270","GEISINGER WYOMING VALLEY MEDICAL CENTER","1000 EAST MOUNTAIN BOULEVARD","Wilkes-Barre","PA","187113466","LUZERNE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"420065","BON SECOURS-ST FRANCIS XAVIER HOSPITAL","2095 HENRY TECKLENBURG DRIVE","Charleston","SC","29414","CHARLESTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110071","APPLING HOSPITAL","163 E TOLLISON STREET","Baxley","GA","31513","APPLING","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"170104","SHAWNEE MISSION MEDICAL CENTER","9100 W 74TH STREET","Shawnee Mission","KS","66204","JOHNSON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"170145","COFFEYVILLE REGIONAL MEDICAL CENTER","1400 W 4TH ST","Coffeyville","KS","67337","MONTGOMERY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"160117","FINLEY HOSPITAL","350 NORTH GRANDVIEW AVENUE","Dubuque","IA","52001","DUBUQUE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"100035","MANATEE MEMORIAL HOSPITAL","206 2ND ST E","Bradenton","FL","34208","MANATEE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"110075","EAST GEORGIA REGIONAL MEDICAL CENTER","1499 FAIR ROAD","Statesboro","GA","30458","BULLOCH","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"310064","ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV","65 WEST JIMMIE LEEDS ROAD","Atlantic City","NJ","08401","ATLANTIC","Not Available","Not Available","Not Available","Not Available","0.94366","0 out of 10","1 out of 9","1 out of 10","1"
"370113","INTEGRIS GROVE HOSPITAL","1001 EAST 18TH STREET","Grove","OK","74344","DELAWARE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450610","MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER","921 GESSNER","Houston","TX","77024","HARRIS","Not Available","Not Available","Not Available","Not Available","0.86842","0 out of 10","0 out of 9","0 out of 10","0"
"220065","NOBLE HOSPITAL","115 WEST SILVER STREET","Westfield","MA","01086","HAMPDEN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"140252","NORTHWEST COMMUNITY HOSPITAL 1","800 W CENTRAL ROAD","Arlington Heights","IL","60005","COOK","Not Available","Not Available","Not Available","Not Available","0.98413","6 out of 10","7 out of 9","7 out of 10","7"
"100137","HEART OF FLORIDA REGIONAL MEDICAL CENTER","40100 US HWY 27 N","Davenport","FL","33837","POLK","Not Available","Not Available","Not Available","Not Available","0.96552","3 out of 10","0 out of 9","3 out of 10","3"
"100177","CAPE CANAVERAL HOSPITAL","701 W COCOA BEACH CAUSEWAY","Cocoa Beach","FL","32931","BREVARD","Not Available","Not Available","Not Available","Not Available","0.96774","3 out of 10","8 out of 9","8 out of 10","8"
"050107","MARIAN REGIONAL MEDICAL CENTER","1400 E CHURCH ST","Santa Maria","CA","93454","SANTA BARBARA","Not Available","Not Available","Not Available","Not Available","0.97368","4 out of 10","0 out of 9","4 out of 10","4"
"520100","BELOIT MEMORIAL HOSPITAL","1969 W HART RD","Beloit","WI","53511","ROCK","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450834","PHYSICIANS CENTRE,THE","3131 UNIVERSITY DRIVE EAST","Bryan","TX","77802","BRAZOS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"440032","WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL","851 LOCUST STREET","Rogersville","TN","37857","HAWKINS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360274","MEDICAL CENTER AT ELIZABETH PLACE","ONE ELIZABETH PLACE","Dayton","OH","45408","MONTGOMERY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450617","CLEAR LAKE REGIONAL MEDICAL CENTER","500 MEDICAL CENTER BLVD","Webster","TX","77598","HARRIS","Not Available","Not Available","Not Available","Not Available","0.98148","6 out of 10","0 out of 9","6 out of 10","6"
"490059","BON SECOURS ST MARYS HOSPITAL","5801 BREMO RD","Richmond","VA","23226","HENRICO","Not Available","Not Available","Not Available","Not Available","0.97619","5 out of 10","2 out of 9","5 out of 10","5"
"100299","LAKEWOOD RANCH MEDICAL CENTER","8330 LAKEWOOD RANCH BLVD","Bradenton","FL","34202","MANATEE","Not Available","Not Available","Not Available","Not Available","0.85714","0 out of 10","0 out of 9","0 out of 10","0"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","Mishawaka","IN","46545","ST. JOSEPH","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"390115","ARIA HEALTH","10800 KNIGHTS ROAD","Philadelphia","PA","19114","PHILADELPHIA","Not Available","Not Available","Not Available","Not Available","0.89130","0 out of 10","0 out of 9","0 out of 10","0"
"420033","GHS GREER MEMORIAL HOSPITAL","830 SOUTH BUNCOMBE ROAD","Greer","SC","29650","GREENVILLE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050360","MARIN GENERAL HOSPITAL","250 BON AIR ROAD, PO BOX 8010","Greenbrae","CA","94904","MARIN","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"450235","MEMORIAL HOSPITAL","1110 NORTH SARAH DEWITT DRIVE","Gonzales","TX","78629","GONZALES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450884","EAST TEXAS MEDICAL CENTER - GILMER","712 NORTH WOOD","Gilmer","TX","75644","UPSHUR","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"380021","TUALITY COMMUNITY HOSPITAL","335 SE 8TH AVENUE","Hillsboro","OR","97123","WASHINGTON","Not Available","Not Available","Not Available","Not Available","0.92593","0 out of 10","0 out of 9","0 out of 10","0"
"360175","CLINTON MEMORIAL HOSPITAL","610 WEST MAIN STREET","Wilmington","OH","45177","CLINTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"240088","RICE MEMORIAL HOSPITAL","301 BECKER AVE SW","Willmar","MN","56201","KANDIYOHI","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"250097","SOUTHWEST MS REGIONAL MEDICAL CENTER","215 MARION AV BOX 1307","Mccomb","MS","39649","PIKE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"260006","HEARTLAND REGIONAL MEDICAL CENTER","5325 FARAON STREET","Saint Joseph","MO","64506-6491","BUCHANAN","Not Available","Not Available","Not Available","Not Available","0.98413","6 out of 10","6 out of 9","6 out of 10","6"
"160083","MERCY MEDICAL CENTER-DES MOINES","1111 6TH AVE","Des Moines","IA","50314","POLK","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"150069","KING'S DAUGHTERS' HEALTH","1373 EAST SR 62","Madison","IN","47250","JEFFERSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"220176","ST VINCENT HOSPITAL","123 SUMMER STREET","Worcester","MA","01608","WORCESTER","Not Available","Not Available","Not Available","Not Available","0.98148","6 out of 10","3 out of 9","6 out of 10","6"
"240059","REGINA HOSPITAL","1175 NININGER ROAD","Hastings","MN","55033","DAKOTA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"240187","HUTCHINSON HEALTH","1095 HIGHWAY 15 SOUTH","Hutchinson","MN","55350","MCLEOD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"240100","SANFORD BEMIDJI MEDICAL CENTER","1300 ANNE ST NW","Bemidji","MN","56601","BELTRAMI","Not Available","Not Available","Not Available","Not Available","0.80000","0 out of 10","Not Available","0 out of 10","0"
"060103","CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL","100 HEALTH PARK DRIVE","Louisville","CO","80027","BOULDER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"150011","MARION GENERAL HOSPITAL","441 N WABASH AVE","Marion","IN","46952","GRANT","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110225","PIEDMONT MOUNTAINSIDE HOSPITAL INC","1266 HIGHWAY 515 SOUTH","Jasper","GA","30143","PICKENS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"140160","FHN MEMORIAL HOSPITAL","1045 WEST STEPHENSON STREET","Freeport","IL","61032","STEPHENSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110124","WAYNE MEMORIAL HOSPITAL","865 SOUTH FIRST STREET","Jesup","GA","31545","WAYNE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"050414","MERCY HOSPITAL OF FOLSOM","1650 CREEKSIDE DRIVE","Folsom","CA","95630","SACRAMENTO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"230146","HENRY FORD WYANDOTTE HOSPITAL","2333 BIDDLE AVE","Wyandotte","MI","48192","WAYNE","Not Available","Not Available","Not Available","Not Available","0.96667","3 out of 10","7 out of 9","7 out of 10","7"
"360172","MERCY REGIONAL MEDICAL CENTER","3700 KOLBE ROAD","Lorain","OH","44053","LORAIN","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"390267","FORBES HOSPITAL","2570 HAYMAKER ROAD","Monroeville","PA","15146","ALLEGHENY","Not Available","Not Available","Not Available","Not Available","0.98485","7 out of 10","9 out of 9","9 out of 10","9"
"250102","MISSISSIPPI BAPTIST MEDICAL CENTER","1225 N STATE ST","Jackson","MS","39202","HINDS","Not Available","Not Available","Not Available","Not Available","0.97619","5 out of 10","6 out of 9","6 out of 10","6"
"290019","CARSON TAHOE REGIONAL MEDICAL CENTER","1600 MEDICAL PARKWAY","Carson City","NV","89703","CARSON CITY","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"190017","OPELOUSAS GENERAL HEALTH SYSTEM","539 EAST PRUDHOMME STREET","Opelousas","LA","70570","ST. LANDRY","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"070010","BRIDGEPORT HOSPITAL","267 GRANT STREET","Bridgeport","CT","06610","FAIRFIELD","Not Available","Not Available","Not Available","Not Available","0.93939","0 out of 10","0 out of 9","0 out of 10","0"
"360151","AFFINITY MEDICAL CENTER","875 EIGHTH STREET NE","Massillon","OH","44646","STARK","Not Available","Not Available","Not Available","Not Available","0.96970","4 out of 10","1 out of 9","4 out of 10","4"
"130063","TREASURE VALLEY HOSPITAL","8800 WEST EMERALD STREET","Boise","ID","83704","ADA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330073","UNITED MEMORIAL MEDICAL CENTER","127 NORTH STREET","Batavia","NY","14020","GENESEE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"070016","SAINT MARYS HOSPITAL","56 FRANKLIN ST","Waterbury","CT","06706","NEW HAVEN","Not Available","Not Available","Not Available","Not Available","0.96226","2 out of 10","0 out of 9","2 out of 10","2"
"170198","SUMMIT SURGICAL, LLC","1818 EAST 23RD AVENUE","Hutchinson","KS","67502","RENO","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"130002","ST LUKE'S MAGIC VALLEY RMC","801 POLE LINE ROAD WEST","Twin Falls","ID","83301","TWIN FALLS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"330195","LONG ISLAND JEWISH MEDICAL CENTER","270 - 05 76TH AVENUE","New Hyde Park","NY","11040","QUEENS","Not Available","Not Available","Not Available","Not Available","0.94118","0 out of 10","5 out of 9","5 out of 10","5"
"220063","LOWELL GENERAL HOSPITAL","295 VARNUM AVENUE","Lowell","MA","01854","MIDDLESEX","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"310084","MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS","600 RIVER AVE","Lakewood","NJ","08701","OCEAN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390048","LEWISTOWN HOSPITAL","400 HIGHLAND AVENUE","Lewistown","PA","17044","MIFFLIN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520088","ST AGNES HOSPITAL","430 E DIVISON ST","Fond Du Lac","WI","54935","FOND DU LAC","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"450713","ST DAVID'S SOUTH AUSTIN MEDICAL CENTER","901 WEST BEN WHITE BLVD","Austin","TX","78704","TRAVIS","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","10"
"230105","MCLAREN - NORTHERN MICHIGAN","416 CONNABLE AVE","Petoskey","MI","49770","EMMET","Not Available","Not Available","Not Available","Not Available","0.96667","3 out of 10","0 out of 9","3 out of 10","3"
