Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"370216","TULSA SPINE & SPECIALTY HOSPITAL","6901 SOUTH OLYMPIA AVENUE","Tulsa","OK","74132","TULSA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.533858","5 out of 10","0 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"370218","SAINT FRANCIS HOSPITAL SOUTH, LLC","10501 EAST 91ST STREET SOUTH","Tulsa","OK","74133","TULSA","0.855657","5 out of 10","Not Available","5 out of 10","0.891105","5 out of 10","0 out of 9","5 out of 10","0.879908","0 out of 10","4 out of 9","4 out of 10","0.429840","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"370222","MCBRIDE CLINIC ORTHOPEDIC HOSPITAL,  L L C","9600 NORTH BROADWAY EXTENSION","Oklahoma City","OK","73114","OKLAHOMA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.469724","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"370225","SUMMIT MEDICAL CENTER","1800 SOUTH RENAISSANCE BOULEVARD","Edmond","OK","73034","OKLAHOMA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.635804","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"370227","ST JOHN OWASSO","12451 EAST 100TH STREET NORTH","Owasso","OK","74055","TULSA","0.859529","Not Available","Not Available","Not Available","0.884724","Not Available","Not Available","Not Available","0.869914","0 out of 10","Not Available","0 out of 10","0.473930","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"370228","BAILEY MEDICAL CENTER, LLC","10502 NORTH 110TH EAST AVENUE","Owasso","OK","74055","TULSA","Not Available","Not Available","Not Available","Not Available","0.882496","Not Available","Not Available","Not Available","0.888203","Not Available","Not Available","Not Available","0.463150","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"370229","INTEGRIS SEMINOLE MEDICAL CENTER","2401 WRANGLER BOULEVARD","Seminole","OK","74868","SEMINOLE","0.857148","Not Available","Not Available","Not Available","0.880733","Not Available","Not Available","Not Available","0.893095","Not Available","Not Available","Not Available","0.493039","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"370234","OKLAHOMA HEART HOSPITAL SOUTH","5200 EAST I-240 SERVICE ROAD","Oklahoma City","OK","73135","OKLAHOMA","0.846392","0 out of 10","0 out of 9","0 out of 10","0.884883","2 out of 10","0 out of 9","2 out of 10","0.886556","2 out of 10","Not Available","2 out of 10","0.384593","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"370235","ST JOHN BROKEN ARROW","1000 WEST BOISE CIRCLE","Broken Arrow","OK","74012","TULSA","0.855725","Not Available","Not Available","Not Available","0.883100","Not Available","Not Available","Not Available","0.886273","Not Available","Not Available","Not Available","0.434369","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"370236","INTEGRIS HEALTH EDMOND","4801 INTEGRIS PARKWAY","Edmond","OK","73034","OKLAHOMA","0.860790","Not Available","Not Available","Not Available","0.879342","Not Available","Not Available","Not Available","0.895291","Not Available","Not Available","Not Available","0.451364","9 out of 10","Not Available","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"380001","MID-COLUMBIA MEDICAL CENTER","1700 E 19TH STREET","The Dalles","OR","97058","WASCO","0.854710","Not Available","Not Available","Not Available","0.881050","0 out of 10","Not Available","0 out of 10","0.882192","0 out of 10","0 out of 9","0 out of 10","0.445614","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"380002","ASANTE THREE RIVERS MEDICAL CENTER","500 SW RAMSEY AVENUE","Grants Pass","OR","97527","JOSEPHINE","0.848567","Not Available","Not Available","Not Available","0.863448","0 out of 10","0 out of 9","0 out of 10","0.864646","0 out of 10","0 out of 9","0 out of 10","0.372573","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"380004","PROVIDENCE ST VINCENT MEDICAL CENTER","9205 SW BARNES ROAD","Portland","OR","97225","WASHINGTON","0.853944","4 out of 10","0 out of 9","4 out of 10","0.862895","0 out of 10","0 out of 9","0 out of 10","0.890332","4 out of 10","3 out of 9","4 out of 10","0.571029","3 out of 10","6 out of 9","6 out of 10","0.285","4 out of 10","0 out of 9","4 out of 10"
"380005","ASANTE ASHLAND COMMUNITY HOSPITAL","280 MAPLE STREET","Ashland","OR","97520","JACKSON","0.857306","Not Available","Not Available","Not Available","0.871447","Not Available","Not Available","Not Available","0.897236","7 out of 10","Not Available","7 out of 10","0.497804","7 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"380007","LEGACY EMANUEL MEDICAL CENTER","2801 N GANTENBEIN AVENUE","Portland","OR","97227","MULTNOMAH","0.863637","Not Available","Not Available","Not Available","0.878762","0 out of 10","Not Available","0 out of 10","0.887401","Not Available","Not Available","Not Available","0.640335","0 out of 10","4 out of 9","4 out of 10","0.275","4 out of 10","4 out of 9","4 out of 10"
"380009","OHSU HOSPITAL AND CLINICS","3181 SW SAM JACKSON PARK ROAD","Portland","OR","97239","MULTNOMAH","0.863313","10 out of 10","9 out of 9","10 out of 10","0.871446","0 out of 10","1 out of 9","1 out of 10","0.889519","3 out of 10","2 out of 9","3 out of 10","0.633148","0 out of 10","5 out of 9","5 out of 10","0.108","7 out of 10","7 out of 9","7 out of 10"
"380014","GOOD SAMARITAN REGIONAL MEDICAL CENTER","3600 NW SAMARITAN DRIVE","Corvallis","OR","97339","BENTON","0.864007","10 out of 10","9 out of 9","10 out of 10","0.866891","0 out of 10","0 out of 9","0 out of 10","0.901547","8 out of 10","8 out of 9","8 out of 10","0.521260","6 out of 10","7 out of 9","7 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"380017","LEGACY GOOD SAMARITAN MEDICAL CENTER","1015 NW 22ND AVENUE, W121","Portland","OR","97210","MULTNOMAH","0.864028","10 out of 10","Not Available","10 out of 10","0.869077","0 out of 10","0 out of 9","0 out of 10","0.887788","3 out of 10","5 out of 9","5 out of 10","0.633577","0 out of 10","4 out of 9","4 out of 10","0.274","4 out of 10","2 out of 9","4 out of 10"
"380018","ASANTE ROGUE REGIONAL MEDICAL CENTER","2825 E BARNETT ROAD","Medford","OR","97504","JACKSON","0.866696","10 out of 10","9 out of 9","10 out of 10","0.848726","0 out of 10","0 out of 9","0 out of 10","0.885564","2 out of 10","1 out of 9","2 out of 10","0.447127","10 out of 10","0 out of 9","10 out of 10","0.269","4 out of 10","0 out of 9","4 out of 10"
"380020","MCKENZIE-WILLAMETTE MEDICAL CENTER","1460 G STREET","Springfield","OR","97477","LANE","0.842214","0 out of 10","Not Available","0 out of 10","0.871471","0 out of 10","0 out of 9","0 out of 10","0.890827","4 out of 10","4 out of 9","4 out of 10","0.515174","6 out of 10","5 out of 9","6 out of 10","1.176","0 out of 10","0 out of 9","0 out of 10"
"380021","TUALITY COMMUNITY HOSPITAL","335 SE 8TH AVENUE","Hillsboro","OR","97123","WASHINGTON","0.857800","Not Available","Not Available","Not Available","0.877979","0 out of 10","1 out of 9","1 out of 10","0.857476","Not Available","Not Available","Not Available","0.600456","1 out of 10","0 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
"380022","SAMARITAN ALBANY GENERAL HOSPITAL","1046 6TH AVENUE SW","Albany","OR","97321","LINN","0.855247","Not Available","Not Available","Not Available","0.862280","0 out of 10","Not Available","0 out of 10","0.863195","0 out of 10","0 out of 9","0 out of 10","0.499561","7 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"380025","LEGACY MOUNT HOOD MEDICAL CENTER","24800 SE STARK STREET","Gresham","OR","97030","MULTNOMAH","0.857378","Not Available","Not Available","Not Available","0.874777","0 out of 10","0 out of 9","0 out of 10","0.903165","9 out of 10","9 out of 9","9 out of 10","0.486315","8 out of 10","9 out of 9","9 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"380027","MERCY MEDICAL CENTER","2700 NW STEWART PARKWAY","Roseburg","OR","97470","DOUGLAS","0.847542","1 out of 10","1 out of 9","1 out of 10","0.861936","0 out of 10","0 out of 9","0 out of 10","0.875345","0 out of 10","0 out of 9","0 out of 10","0.588056","2 out of 10","2 out of 9","2 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"380029","SILVERTON HOSPITAL","342 FAIRVIEW STREET","Silverton","OR","97381","MARION","0.860186","Not Available","Not Available","Not Available","0.878103","Not Available","Not Available","Not Available","0.878959","Not Available","Not Available","Not Available","0.560713","4 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"380033","SACRED HEART UNIVERSITY DISTRICT","1255 HILYARD STREET","Eugene","OR","97401","LANE","0.847653","Not Available","Not Available","Not Available","0.879293","Not Available","Not Available","Not Available","0.889866","4 out of 10","0 out of 9","4 out of 10","0.496095","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"380037","PROVIDENCE NEWBERG MEDICAL CENTER","1001 PROVIDENCE DRIVE","Newberg","OR","97132","YAMHILL","0.859386","Not Available","Not Available","Not Available","0.862563","Not Available","Not Available","Not Available","0.889323","Not Available","Not Available","Not Available","0.682273","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"380038","PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER","1500 DIVISION STREET","Oregon City","OR","97045","CLACKAMAS","0.860301","Not Available","Not Available","Not Available","0.864442","0 out of 10","Not Available","0 out of 10","0.855870","Not Available","Not Available","Not Available","0.587891","2 out of 10","4 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"380040","ST CHARLES MEDICAL CENTER - REDMOND","1253 N CANAL BLVD","Bend","OR","97701","DESCHUTES","0.848421","Not Available","Not Available","Not Available","0.876816","Not Available","Not Available","Not Available","0.876271","Not Available","Not Available","Not Available","0.354546","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"380047","ST CHARLES MEDICAL CENTER - BEND","2500 NE NEFF ROAD","Bend","OR","97701","DESCHUTES","0.847072","0 out of 10","0 out of 9","0 out of 10","0.881083","0 out of 10","0 out of 9","0 out of 10","0.860474","0 out of 10","0 out of 9","0 out of 10","0.465259","9 out of 10","8 out of 9","9 out of 10","1.557","0 out of 10","0 out of 9","0 out of 10"
"380050","SKY LAKES MEDICAL CENTER","2865 DAGGETT AVENUE","Klamath Falls","OR","97601","KLAMATH","0.867360","10 out of 10","9 out of 9","10 out of 10","0.887380","3 out of 10","6 out of 9","6 out of 10","0.832063","0 out of 10","0 out of 9","0 out of 10","0.514291","6 out of 10","6 out of 9","6 out of 10","1.179","0 out of 10","0 out of 9","0 out of 10"
"380051","SALEM HOSPITAL","890 OAK STREET, SE","Salem","OR","97301","MARION","0.846440","0 out of 10","3 out of 9","3 out of 10","0.880167","0 out of 10","0 out of 9","0 out of 10","0.883713","1 out of 10","0 out of 9","1 out of 10","0.453083","9 out of 10","9 out of 9","9 out of 10","0.460","0 out of 10","0 out of 9","0 out of 10"
"380052","ST ALPHONSUS MEDICAL CENTER - ONTARIO, INC","351 SW 9TH STREET","Ontario","OR","97914","MALHEUR","0.853468","Not Available","Not Available","Not Available","0.888705","4 out of 10","7 out of 9","7 out of 10","0.883440","1 out of 10","0 out of 9","1 out of 10","0.710875","0 out of 10","1 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available"
"380056","SANTIAM MEMORIAL HOSPITAL","1401 N 10TH AVENUE","Stayton","OR","97383","MARION","0.857209","Not Available","Not Available","Not Available","0.880176","Not Available","Not Available","Not Available","0.880963","Not Available","Not Available","Not Available","0.463811","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"380060","ADVENTIST MEDICAL CENTER","10123 SE MARKET STREET","Portland","OR","97216","MULTNOMAH","0.862316","9 out of 10","9 out of 9","9 out of 10","0.882726","1 out of 10","4 out of 9","4 out of 10","0.889606","3 out of 10","Not Available","3 out of 10","0.422426","10 out of 10","9 out of 9","10 out of 10","0.401","1 out of 10","0 out of 9","1 out of 10"
"380061","PROVIDENCE PORTLAND MEDICAL CENTER","4805 NE GLISAN STREET","Portland","OR","97213","MULTNOMAH","0.860334","8 out of 10","9 out of 9","9 out of 10","0.867063","0 out of 10","0 out of 9","0 out of 10","0.892903","5 out of 10","0 out of 9","5 out of 10","0.617206","0 out of 10","3 out of 9","3 out of 10","0.351","2 out of 10","0 out of 9","2 out of 10"
"380071","WILLAMETTE VALLEY MEDICAL CENTER","2700 SE STRATUS AVE.","Mcminnville","OR","97128","YAMHILL","0.850774","Not Available","Not Available","Not Available","0.890025","5 out of 10","1 out of 9","5 out of 10","0.889561","3 out of 10","0 out of 9","3 out of 10","0.589442","2 out of 10","0 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"380075","PROVIDENCE MEDFORD MEDICAL CENTER","1111 CRATER LAKE AVENUE","Medford","OR","97504","JACKSON","0.852469","Not Available","Not Available","Not Available","0.883747","2 out of 10","1 out of 9","2 out of 10","0.869116","0 out of 10","1 out of 9","1 out of 10","0.525480","5 out of 10","7 out of 9","7 out of 10","0.651","0 out of 10","0 out of 9","0 out of 10"
"380082","PROVIDENCE MILWAUKIE HOSPITAL","10150 SE 32ND AVENUE","Milwaukie","OR","97222","CLACKAMAS","0.858488","Not Available","Not Available","Not Available","0.870656","0 out of 10","Not Available","0 out of 10","0.871207","Not Available","Not Available","Not Available","0.478689","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"380089","LEGACY MERIDIAN PARK MEDICAL CENTER","19300 SW 65TH AVENUE","Tualatin","OR","97062","WASHINGTON","0.843379","0 out of 10","0 out of 9","0 out of 10","0.883161","1 out of 10","5 out of 9","5 out of 10","0.865200","0 out of 10","0 out of 9","0 out of 10","0.348191","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"380090","BAY AREA HOSPITAL","1775 THOMPSON ROAD","Coos Bay","OR","97420","COOS","0.838329","0 out of 10","Not Available","0 out of 10","0.871094","0 out of 10","1 out of 9","1 out of 10","0.857533","0 out of 10","0 out of 9","0 out of 10","0.673314","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"380091","KAISER SUNNYSIDE MEDICAL CENTER","10180 SE SUNNYSIDE ROAD","Clackamas","OR","97015","CLACKAMAS","0.849194","Not Available","Not Available","Not Available","0.880274","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.390652","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"380102","SACRED HEART MEDICAL CENTER - RIVERBEND","3333 RIVERBEND DRIVE","Springfield","OR","97477","LANE","0.859063","8 out of 10","8 out of 9","8 out of 10","0.857708","0 out of 10","0 out of 9","0 out of 10","0.885228","2 out of 10","4 out of 9","4 out of 10","0.628762","0 out of 10","0 out of 9","0 out of 10","0.183","6 out of 10","6 out of 9","6 out of 10"
"380103","KAISER FOUNDATION HOSPITAL - WESTSIDE","2875 NW STUCKI AVE","Hillsboro","OR","97124","WASHINGTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"390001","GEISINGER - COMMUNITY MEDICAL CENTER","1822 MULBERRY STREET","Scranton","PA","18510","LACKAWANNA","0.862315","9 out of 10","9 out of 9","9 out of 10","0.877047","0 out of 10","3 out of 9","3 out of 10","0.875663","0 out of 10","0 out of 9","0 out of 10","0.454795","9 out of 10","9 out of 9","9 out of 10","0.765","0 out of 10","0 out of 9","0 out of 10"
"390002","UPMC MCKEESPORT","1500 FIFTH AVENUE","Mc Keesport","PA","15132","ALLEGHENY","0.836748","0 out of 10","0 out of 9","0 out of 10","0.893576","6 out of 10","0 out of 9","6 out of 10","0.881921","0 out of 10","0 out of 9","0 out of 10","0.504294","7 out of 10","1 out of 9","7 out of 10","0.276","4 out of 10","3 out of 9","4 out of 10"
"390003","GEISINGER - BLOOMSBURG HOSPITAL","549 EAST FAIR STREET","Bloomsburg","PA","17815","COLUMBIA","0.858240","Not Available","Not Available","Not Available","0.884972","Not Available","Not Available","Not Available","0.891764","4 out of 10","0 out of 9","4 out of 10","0.461723","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"390004","HOLY SPIRIT HOSPITAL","503 NORTH 21ST STREET","Camp Hill","PA","17011","CUMBERLAND","0.861278","9 out of 10","9 out of 9","9 out of 10","0.882446","1 out of 10","0 out of 9","1 out of 10","0.879384","0 out of 10","0 out of 9","0 out of 10","0.529110","5 out of 10","0 out of 9","5 out of 10","0.785","0 out of 10","0 out of 9","0 out of 10"
"390006","GEISINGER MEDICAL CENTER","100 NORTH ACADEMY AVENUE","Danville","PA","17822","MONTOUR","0.843218","0 out of 10","5 out of 9","5 out of 10","0.878555","0 out of 10","3 out of 9","3 out of 10","0.873229","0 out of 10","0 out of 9","0 out of 10","0.792682","0 out of 10","4 out of 9","4 out of 10","0.362","2 out of 10","6 out of 9","6 out of 10"
"390008","ELLWOOD CITY HOSPITAL","724 PERSHING STREET","Ellwood City","PA","16117","LAWRENCE","Not Available","Not Available","Not Available","Not Available","0.882865","Not Available","Not Available","Not Available","0.884528","Not Available","Not Available","Not Available","0.467571","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"390009","SAINT VINCENT HOSPITAL","232 WEST 25TH STREET","Erie","PA","16544","ERIE","0.866219","10 out of 10","9 out of 9","10 out of 10","0.874490","0 out of 10","0 out of 9","0 out of 10","0.886992","2 out of 10","5 out of 9","5 out of 10","0.533219","5 out of 10","2 out of 9","5 out of 10","0.178","6 out of 10","7 out of 9","7 out of 10"
"390012","LANSDALE HOSPITAL","100 MEDICAL CAMPUS DRIVE","Lansdale","PA","19446","MONTGOMERY","0.843698","0 out of 10","1 out of 9","1 out of 10","0.880591","0 out of 10","0 out of 9","0 out of 10","0.865213","0 out of 10","0 out of 9","0 out of 10","0.434975","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"390013","EVANGELICAL COMMUNITY HOSPITAL","ONE HOSPITAL DRIVE","Lewisburg","PA","17837","UNION","0.848640","1 out of 10","0 out of 9","1 out of 10","0.869816","0 out of 10","0 out of 9","0 out of 10","0.880751","0 out of 10","1 out of 9","1 out of 10","0.485142","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available"
"390016","JAMESON MEMORIAL HOSPITAL","1211 WILMINGTON AVENUE","New Castle","PA","16105","LAWRENCE","0.859069","Not Available","Not Available","Not Available","0.880014","0 out of 10","0 out of 9","0 out of 10","0.891274","4 out of 10","5 out of 9","5 out of 10","0.433580","10 out of 10","9 out of 9","10 out of 10","0.740","0 out of 10","Not Available","0 out of 10"
"390019","PALMERTON HOSPITAL","135 LAFAYETTE AVENUE","Palmerton","PA","18071","CARBON","0.862014","Not Available","Not Available","Not Available","0.876834","0 out of 10","0 out of 9","0 out of 10","0.894342","5 out of 10","5 out of 9","5 out of 10","0.595670","2 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"390026","CHESTNUT HILL HOSPITAL","8835 GERMANTOWN AVE","Philadelphia","PA","19118","PHILADELPHIA","0.864419","Not Available","Not Available","Not Available","0.847689","0 out of 10","0 out of 9","0 out of 10","0.830905","0 out of 10","0 out of 9","0 out of 10","0.512085","6 out of 10","6 out of 9","6 out of 10","0.930","0 out of 10","0 out of 9","0 out of 10"
"390027","TEMPLE UNIVERSITY HOSPITAL","3401 NORTH BROAD STREET","Philadelphia","PA","19140","PHILADELPHIA","0.859484","Not Available","Not Available","Not Available","0.898687","9 out of 10","7 out of 9","9 out of 10","0.895706","6 out of 10","6 out of 9","6 out of 10","0.381866","10 out of 10","9 out of 9","10 out of 10","0.473","0 out of 10","4 out of 9","4 out of 10"
"390028","UPMC MERCY","1400 LOCUST STREET","Pittsburgh","PA","15219","ALLEGHENY","0.844952","0 out of 10","3 out of 9","3 out of 10","0.884614","2 out of 10","0 out of 9","2 out of 10","0.865955","0 out of 10","0 out of 9","0 out of 10","0.478748","8 out of 10","9 out of 9","9 out of 10","0.248","4 out of 10","0 out of 9","4 out of 10"
"390030","SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET","420 SOUTH JACKSON STREET","Pottsville","PA","17901","SCHUYLKILL","0.861315","Not Available","Not Available","Not Available","0.874022","0 out of 10","0 out of 9","0 out of 10","0.867382","0 out of 10","0 out of 9","0 out of 10","0.681276","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"390031","SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET","700 EAST NORWEGIAN STREET","Pottsville","PA","17901","SCHUYLKILL","0.836753","0 out of 10","Not Available","0 out of 10","0.884055","2 out of 10","6 out of 9","6 out of 10","0.840627","0 out of 10","0 out of 9","0 out of 10","0.461675","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"390032","ALLEGHENY VALLEY HOSPITAL","1301 CARLISLE ST","Natrona","PA","15065","ALLEGHENY","0.860972","9 out of 10","8 out of 9","9 out of 10","0.886316","3 out of 10","0 out of 9","3 out of 10","0.855381","0 out of 10","0 out of 9","0 out of 10","0.398761","10 out of 10","9 out of 9","10 out of 10","1.493","0 out of 10","0 out of 9","0 out of 10"
"390035","ST LUKE'S QUAKERTOWN HOSPITAL","1021 PARK AVENUE","Quakertown","PA","18951","BUCKS","0.857657","Not Available","Not Available","Not Available","0.867290","0 out of 10","0 out of 9","0 out of 10","0.894495","5 out of 10","6 out of 9","6 out of 10","0.467075","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"390036","HERITAGE VALLEY BEAVER","1000 DUTCH RIDGE ROAD","Beaver","PA","15009","BEAVER","0.870159","10 out of 10","9 out of 9","10 out of 10","0.871903","0 out of 10","4 out of 9","4 out of 10","0.907611","10 out of 10","9 out of 9","10 out of 10","0.660663","0 out of 10","6 out of 9","6 out of 10","0.460","0 out of 10","6 out of 9","6 out of 10"
"390037","HERITAGE VALLEY SEWICKLEY","720 BLACKBURN ROAD","Sewickley","PA","15143","ALLEGHENY","0.857437","Not Available","Not Available","Not Available","0.872279","0 out of 10","0 out of 9","0 out of 10","0.881013","0 out of 10","0 out of 9","0 out of 10","0.527422","5 out of 10","6 out of 9","6 out of 10","0.456","0 out of 10","6 out of 9","6 out of 10"
"390039","SOMERSET HOSPITAL","225 SOUTH CENTER AVENUE","Somerset","PA","15501","SOMERSET","0.857284","Not Available","Not Available","Not Available","0.877710","0 out of 10","Not Available","0 out of 10","0.897798","Not Available","Not Available","Not Available","0.587382","2 out of 10","4 out of 9","4 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"390041","UNIONTOWN HOSPITAL","500 WEST BERKELEY STREET","Uniontown","PA","15401","FAYETTE","0.851752","3 out of 10","0 out of 9","3 out of 10","0.857630","0 out of 10","0 out of 9","0 out of 10","0.881458","0 out of 10","0 out of 9","0 out of 10","0.425310","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"390042","WASHINGTON HOSPITAL, THE","155 WILSON AVENUE","Washington","PA","15301","WASHINGTON","0.848654","1 out of 10","0 out of 9","1 out of 10","0.871250","0 out of 10","0 out of 9","0 out of 10","0.896128","6 out of 10","6 out of 9","6 out of 10","0.345848","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"390043","SOLDIERS AND SAILORS MEMORIAL HOSPITAL","32-36 CENTRAL AVENUE","Wellsboro","PA","16901","TIOGA","0.856818","Not Available","Not Available","Not Available","0.889326","4 out of 10","5 out of 9","5 out of 10","0.877972","0 out of 10","0 out of 9","0 out of 10","0.425989","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"390044","READING HOSPITAL","SIXTH AVENUE AND SPRUCE ST","West Reading","PA","19611","BERKS","0.865878","10 out of 10","9 out of 9","10 out of 10","0.893737","6 out of 10","5 out of 9","6 out of 10","0.902581","9 out of 10","0 out of 9","9 out of 10","0.373394","10 out of 10","9 out of 9","10 out of 10","0.268","4 out of 10","0 out of 9","4 out of 10"
"390045","WILLIAMSPORT REGIONAL MEDICAL CENTER","700 HIGH STREET","Williamsport","PA","17701","LYCOMING","0.871625","10 out of 10","9 out of 9","10 out of 10","0.871484","0 out of 10","3 out of 9","3 out of 10","0.871693","0 out of 10","0 out of 9","0 out of 10","0.459164","9 out of 10","0 out of 9","9 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"390046","YORK HOSPITAL","1001 SOUTH GEORGE STREET","York","PA","17403","YORK","0.864225","10 out of 10","9 out of 9","10 out of 10","0.876490","0 out of 10","0 out of 9","0 out of 10","0.855417","0 out of 10","0 out of 9","0 out of 10","0.472893","8 out of 10","9 out of 9","9 out of 10","0.286","4 out of 10","0 out of 9","4 out of 10"
"390048","LEWISTOWN HOSPITAL","400 HIGHLAND AVENUE","Lewistown","PA","17044","MIFFLIN","0.838729","0 out of 10","0 out of 9","0 out of 10","0.890803","5 out of 10","7 out of 9","7 out of 10","0.900856","8 out of 10","7 out of 9","8 out of 10","0.585125","2 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"390049","ST LUKE'S HOSPITAL BETHLEHEM","801 OSTRUM STREET","Bethlehem","PA","18015","NORTHAMPTON","0.853497","4 out of 10","0 out of 9","4 out of 10","0.875383","0 out of 10","0 out of 9","0 out of 10","0.909592","10 out of 10","9 out of 9","10 out of 10","0.646866","0 out of 10","5 out of 9","5 out of 10","0.233","5 out of 10","0 out of 9","5 out of 10"
"390050","ALLEGHENY GENERAL HOSPITAL","320 EAST NORTH AVENUE","Pittsburgh","PA","15212","ALLEGHENY","0.862205","9 out of 10","9 out of 9","9 out of 10","0.886068","3 out of 10","4 out of 9","4 out of 10","0.890928","4 out of 10","6 out of 9","6 out of 10","0.591552","2 out of 10","2 out of 9","2 out of 10","0.410","1 out of 10","0 out of 9","1 out of 10"
"390052","CLEARFIELD HOSPITAL","809 TURNPIKE AVE","Clearfield","PA","16830","CLEARFIELD","0.853287","Not Available","Not Available","Not Available","0.874131","0 out of 10","3 out of 9","3 out of 10","0.866596","0 out of 10","0 out of 9","0 out of 10","0.440357","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
